                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.41345,                 1.0076,                0.86236,                0.97434,                0.95934,                0.96949,                0.94376,                0.30972,                0.40145,                0.79062,             3.6297e-05,             3.6297e-05,             3.6297e-05
                    138,                0.38614,                0.94606,                0.85066,                0.97736,                0.95976,                0.96949,                0.93883,                0.31378,                0.39618,                0.79097,             3.4099e-05,             3.4099e-05,             3.4099e-05
                    139,                0.42474,                 1.0426,                 0.8511,                0.97874,                0.95959,                0.96949,                0.93885,                0.31573,                0.39342,                0.79115,             3.1901e-05,             3.1901e-05,             3.1901e-05
                    140,                0.45035,                  1.002,                 0.8516,                0.98017,                0.95962,                0.96949,                0.94661,                0.31079,                0.39673,                0.79052,             2.9704e-05,             2.9704e-05,             2.9704e-05
                    141,                0.38046,                 1.1699,                0.81678,                0.98016,                0.95955,                 0.9663,                0.94861,                0.30901,                0.39483,                0.78971,             2.7506e-05,             2.7506e-05,             2.7506e-05
                    142,                0.39959,                 1.1819,                 0.8143,                0.97987,                0.95932,                0.96949,                0.95172,                0.30573,                0.39454,                0.78819,             2.5308e-05,             2.5308e-05,             2.5308e-05
                    143,                0.33543,                 1.1436,                0.81517,                0.97929,                0.95914,                0.96949,                0.95471,                 0.3041,                0.39771,                0.78742,              2.311e-05,              2.311e-05,              2.311e-05
                    144,                0.36251,                 1.2137,                0.80787,                 0.9771,                0.95609,                0.96949,                 0.9524,                0.30867,                0.41239,                0.78786,             2.0912e-05,             2.0912e-05,             2.0912e-05
                    145,                0.34084,                  1.185,                  0.804,                0.97585,                0.95503,                0.96949,                0.95216,                0.31084,                0.41803,                0.78779,             1.8715e-05,             1.8715e-05,             1.8715e-05
                    146,                0.35217,                 1.1624,                0.79791,                0.97444,                0.94983,                0.97587,                0.95807,                 0.3162,                0.43732,                0.78923,             1.6517e-05,             1.6517e-05,             1.6517e-05
                    147,                0.34965,                 1.1828,                0.76623,                0.97375,                0.94842,                0.97587,                0.95458,                0.31797,                0.44149,                0.78944,             1.4319e-05,             1.4319e-05,             1.4319e-05
                    148,                0.36967,                 1.2243,                0.81015,                0.97371,                0.94633,                0.97587,                0.95221,                0.31425,                0.44749,                0.78861,             1.2121e-05,             1.2121e-05,             1.2121e-05
                    149,                0.32889,                 1.2257,                0.77895,                0.97396,                0.94626,                0.96949,                0.94582,                0.31216,                0.44678,                0.78823,             9.9234e-06,             9.9234e-06,             9.9234e-06
                    150,                0.33683,                 1.2826,                0.79394,                0.97376,                0.94717,                0.96949,                0.94894,                0.30701,                0.44805,                0.78736,             7.7256e-06,             7.7256e-06,             7.7256e-06
